loss,hyperparameters,iteration,runtime,score,std
0.5777890467107047,"{'boosting_type': 'goss', 'colsample_bytree': 0.5108465046488753, 'learning_rate': 0.05858852897317804, 'limit_max_depth': True, 'max_depth': 5, 'min_child_samples': 10, 'num_leaves': 7, 'reg_alpha': 0.8638931117861242, 'reg_lambda': 0.7848390007298623, 'subsample_for_bin': 6000, 'subsample': 1.0, 'subsample_freq': 0}",14,0.7408383070491255,0.42221095328929525,0.028185232347201442
0.5545934062993664,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9032681392408, 'learning_rate': 0.05238855524610007, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 15, 'num_leaves': 32, 'reg_alpha': 0.909875766765908, 'reg_lambda': 0.46703875287680685, 'subsample_for_bin': 32000, 'subsample': 0.7292650804549794, 'subsample_freq': 3}",15,1.2814768043346703,0.4454065937006336,0.015854759719944603
0.5623774501064356,"{'boosting_type': 'goss', 'colsample_bytree': 0.5666520007714804, 'learning_rate': 0.1158964132964813, 'limit_max_depth': True, 'max_depth': 38, 'min_child_samples': 35, 'num_leaves': 20, 'reg_alpha': 0.5319818122587986, 'reg_lambda': 0.9608036245849706, 'subsample_for_bin': 42000, 'subsample': 1.0, 'subsample_freq': 0}",16,1.115140185225755,0.43762254989356436,0.011587374255170715
0.6042234934304169,"{'boosting_type': 'dart', 'colsample_bytree': 0.6669325977695987, 'learning_rate': 0.06536818591828866, 'limit_max_depth': True, 'max_depth': 38, 'min_child_samples': 75, 'num_leaves': 45, 'reg_alpha': 0.6508414541855528, 'reg_lambda': 0.06231421383125113, 'subsample_for_bin': 48000, 'drop_rate': 0.464299816328145, 'subsample': 0.812114475299909, 'subsample_freq': 1}",17,155.59015159457923,0.39577650656958313,0.01536951949104576
0.5788625714546749,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5646786085976716, 'learning_rate': 0.04988340764193253, 'limit_max_depth': True, 'max_depth': 4, 'min_child_samples': 40, 'num_leaves': 48, 'reg_alpha': 0.45920804908047697, 'reg_lambda': 0.6435513410650253, 'subsample_for_bin': 54000, 'subsample': 0.9898021390020761, 'subsample_freq': 6}",18,0.837209592293948,0.42113742854532515,0.016506578828946718
0.5592359244693127,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.662666965393985, 'learning_rate': 0.12965978618197, 'limit_max_depth': True, 'max_depth': 31, 'min_child_samples': 70, 'num_leaves': 22, 'reg_alpha': 0.17548965770084413, 'reg_lambda': 0.59588994438018, 'subsample_for_bin': 94000, 'subsample': 0.6501392309237111, 'subsample_freq': 2}",19,0.8553400300443172,0.4407640755306873,0.019511467138815027
0.6160992947437108,"{'boosting_type': 'dart', 'colsample_bytree': 0.9644679048918801, 'learning_rate': 0.06622609733729941, 'limit_max_depth': True, 'max_depth': 13, 'min_child_samples': 75, 'num_leaves': 13, 'reg_alpha': 0.052591190018446254, 'reg_lambda': 0.7897701140308482, 'subsample_for_bin': 50000, 'drop_rate': 0.2585686779558586, 'subsample': 0.5822274906617677, 'subsample_freq': 10}",20,139.4408414210193,0.38390070525628917,0.018776915806983336
0.5745045478812363,"{'boosting_type': 'goss', 'colsample_bytree': 0.8933310620882176, 'learning_rate': 0.183297535030208, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 5, 'num_leaves': 25, 'reg_alpha': 0.8473198627580484, 'reg_lambda': 0.3292400807844176, 'subsample_for_bin': 20000, 'subsample': 1.0, 'subsample_freq': 0}",21,1.11489193206653,0.42549545211876366,0.019499814616640226
0.5605393489184094,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7990824304221998, 'learning_rate': 0.03944113903377976, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 50, 'num_leaves': 34, 'reg_alpha': 0.2217898585644203, 'reg_lambda': 0.9198547580164683, 'subsample_for_bin': 28000, 'subsample': 0.6255257774289845, 'subsample_freq': 1}",22,1.1559555451385677,0.43946065108159066,0.010085786810645406
0.55470616419384,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7573227432745545, 'learning_rate': 0.09200317924888561, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 35, 'num_leaves': 24, 'reg_alpha': 0.20822943048120818, 'reg_lambda': 0.13848736226120434, 'subsample_for_bin': 66000, 'subsample': 0.704887295768492, 'subsample_freq': 1}",23,1.1094653435982764,0.44529383580616005,0.016577624115388385
